Repository Name,Repository_ID,Provider,Consortium,Number of Records,Text,Identifiers,Connections,Contacts,Total,2025-05,Change,,,,
Burnet Institute,burnet.repo,burnet,ardc,1,67%,61%,28%,20%,46%,,,,,,
AuScope Data Repository,auscope.repo1,auscope,ardc,4,67%,44%,32%,40%,45%,47%,-2%,,,,
Australia New Zealand Gynaecological Oncology Group,cctg.anzgog,cctg,ardc,1,73%,56%,22%,20%,44%,44%,0%,,,,
Australasian Leukaemia and Lymphoma Group,cctg.allg,cctg,ardc,34,73%,51%,17%,27%,42%,42%,0%,,,,
Trans Tasman Radiation Oncology Group,cctg.trog,cctg,ardc,6,71%,56%,17%,20%,42%,44%,-2%,,,,
South Australian Health and Medical Research Institute,sahmri.repo,sahmri,ardc,28,70%,59%,12%,21%,41%,51%,-9%,,,,
Breast Cancer Trials,cctg.bct,cctg,ardc,17,72%,52%,19%,8%,40%,40%,0%,,,,
ResearchOnline@ND,unda.repo,unda,ardc,7,70%,58%,14%,7%,40%,39%,1%,,,,
Australian & New Zealand Urogenital and Prostate Cancer Trials Group,cctg.anzup,cctg,ardc,1,73%,56%,17%,0%,39%,,,,,,
Thoracic Oncology Group of Australasia,cctg.toga,cctg,ardc,2,70%,50%,19%,0%,38%,38%,0%,,,,
Australian Data Archive,ada.repo,ada,ardc,1778,73%,22%,38%,9%,37%,37%,0%,,,,
Monash OER,monash.oer,monash,ardc,33,69%,49%,11%,10%,36%,36%,0%,,,,
Australia's National Research Organisation for Women's Safety,anrows.repo,anrows,ardc,3,73%,37%,19%,10%,36%,35%,1%,,,,
Murdoch University,murdoch.repo,murdoch,ardc,37,74%,38%,17%,8%,36%,35%,0%,,,,
"Cancer Symptom Trials, Palliative Care Clinical Studies Collaborative",cctg.paccsc-cst,cctg,ardc,6,72%,42%,17%,3%,36%,36%,0%,,,,
The University of Queensland,uq.repo,uq,ardc,701,63%,44%,18%,10%,35%,33%,3%,,,,
Data Central,mqu.dcentral,mqu,ardc,6,67%,43%,15%,5%,34%,36%,-2%,,,,
UTS Library,uts.repo2,uts,ardc,8,64%,47%,10%,8%,34%,34%,0%,,,,
Bioplatforms Australia,ardcx.bpa,ardcx,ardc,24,69%,37%,14%,10%,33%,32%,1%,,,,
Queensland Cyber Infrastructure Foundation Ltd,qcif.repo,qcif,ardc,25,66%,31%,21%,10%,33%,33%,0%,,,,
Melbourne Institute of Technology,mitau.repo,mitau,ardc,11,61%,44%,16%,0%,33%,,,,,,
Griffith University Figshare,griffith.figshare,griffith,ardc,261,73%,24%,18%,10%,32%,33%,-1%,,,,
ATSE,atse.repo,atse,ardc,13,56%,51%,9%,0%,31%,31%,0%,,,,
WA HeSANDA Node,curtin.repo2,curtin,ardc,8,58%,40%,17%,0%,31%,32%,-1%,,,,
Pawsey Supercomputing Centre,pawsey.repo,pawsey,ardc,68,58%,29%,21%,9%,30%,30%,0%,,,,
Swinburne University of Technology,swin.repo2,swin,ardc,10000,64%,27%,17%,10%,30%,29%,1%,,,,
